id,createdAt,updatedAt,handle,name,slug,teamId,height,weight,number,position
201935,2021-03-26 04:41:02.055,2021-03-26 04:41:02.055,201935,James Harden,james-harden,1610612751,6-5,220,13,G
1626174,2021-03-26 04:41:02.06,2021-03-26 04:41:02.06,1626174,Christian Wood,christian-wood,1610612745,6-10,214,35,F
1627763,2021-03-26 04:41:02.064,2021-03-26 04:41:02.064,1627763,Malcolm Brogdon,malcolm-brogdon,1610612754,6-5,229,7,G
1629013,2021-03-26 04:41:02.069,2021-03-26 04:41:02.069,1629013,Landry Shamet,landry-shamet,1610612751,6-4,190,20,G
202694,2021-03-26 04:41:02.074,2021-03-26 04:41:02.074,202694,Marcus Morris Sr.,marcus-morris-sr,1610612746,6-8,218,8,F
201976,2021-03-26 04:41:02.079,2021-03-26 04:41:02.079,201976,Patrick Beverley,patrick-beverley,1610612746,6-1,180,21,G
203484,2021-03-26 04:41:02.084,2021-03-26 04:41:02.084,203484,Kentavious Caldwell-Pope,kentavious-caldwell-pope,1610612747,6-5,204,1,G
202083,2021-03-26 04:41:02.089,2021-03-26 04:41:02.089,202083,Wesley Matthews,wesley-matthews,1610612747,6-4,220,9,G
201162,2021-03-26 04:41:02.094,2021-03-26 04:41:02.094,201162,Jared Dudley,jared-dudley,1610612747,6-6,237,10,F
1626159,2021-03-26 04:41:02.1,2021-03-26 04:41:02.1,1626159,Justise Winslow,justise-winslow,1610612763,6-6,222,7,F-G
1626171,2021-03-26 04:41:02.104,2021-03-26 04:41:02.104,1626171,Bobby Portis,bobby-portis,1610612749,6-10,250,9,F
200782,2021-03-26 04:41:02.109,2021-03-26 04:41:02.109,200782,P.J. Tucker,pj-tucker,1610612749,6-5,245,17,F
1629675,2021-03-26 04:41:02.115,2021-03-26 04:41:02.115,1629675,Naz Reid,naz-reid,1610612750,6-9,264,11,C-F
1628366,2021-03-26 04:41:02.12,2021-03-26 04:41:02.12,1628366,Lonzo Ball,lonzo-ball,1610612740,6-6,190,2,G
1628539,2021-03-26 04:41:02.125,2021-03-26 04:41:02.125,1628539,Mychal Mulder,mychal-mulder,1610612744,6-3,184,15,G
71,2021-03-26 04:41:02.13,2021-03-26 04:41:02.13,1627885,Shaquille Harrison,shaquille-harrison,1610612741,6-7,190,3,G
137,2021-03-26 04:41:02.134,2021-03-26 04:41:02.134,203943,Noah Vonleh,noah-vonleh,1610612743,6-10,257,32,F
204456,2021-03-26 04:41:02.141,2021-03-26 04:41:02.141,204456,T.J. McConnell,tj-mcconnell,1610612754,6-1,190,9,G
203110,2021-03-26 04:41:02.151,2021-03-26 04:41:02.151,203110,Draymond Green,draymond-green,1610612744,6-6,230,23,F
1629308,2021-03-26 04:41:02.157,2021-03-26 04:41:02.157,1629308,Juan Toscano-Anderson,juan-toscano-anderson,1610612744,6-6,209,95,F
169,2021-03-26 04:41:02.162,2021-03-26 04:41:02.162,1629598,Chris Clemons,chris-clemons,1610612745,5-9,180,3,G
1626192,2021-03-26 04:41:02.167,2021-03-26 04:41:02.167,1626192,Pat Connaughton,pat-connaughton,1610612749,6-5,209,24,G
185,2021-03-26 04:41:02.173,2021-03-26 04:41:02.173,1629739,William Howard,william-howard,1610612745,6-8,207,52,F-G
1626149,2021-03-26 04:41:02.18,2021-03-26 04:41:02.18,1626149,Montrezl Harrell,montrezl-harrell,1610612747,6-7,240,15,F-C
